H,lr,run,beta,alpha,margin,method,dataset,n_iters,n_tasks,download,exp_name,mem_size,momentum,use_augs,data_root,n_classes,n_workers,subsample,task_free,wandb_log,batch_size,buffer_neg,eval_every,validation,distill_coef,incoming_neg,mir_head_only,wandb_project,cope_temperature,samples_per_task,buffer_batch_size,supcon_temperature,acc
,0.05,1,0.5,0.1,0.2,mir,split_cifar10,1,5,0,tmp,20,0.99,1,../cl-pytorch/data,10,8,50,0,online,10,0,-1,1,1,2,1,online_cl,0.1,-1,10,0.2,35.68
,0.05,0,0.5,0.1,0.2,mir,split_cifar10,1,5,0,tmp,20,0.99,1,../cl-pytorch/data,10,8,50,0,online,10,0,-1,1,1,2,1,online_cl,0.1,-1,10,0.2,36.58
,0.1,1,0.5,0.1,0.2,mir,split_cifar10,1,5,0,tmp,100,0.99,1,../cl-pytorch/data,10,8,50,0,online,10,0,-1,1,1,2,0,online_cl,0.1,-1,10,0.2,21.639999999999997
,0.1,0,0.5,0.1,0.2,mir,split_cifar10,1,5,0,tmp,100,0.99,1,../cl-pytorch/data,10,8,50,0,online,10,0,-1,1,1,2,0,online_cl,0.1,-1,10,0.2,36.68
,0.1,1,0.5,0.1,0.2,mir,split_cifar10,1,5,0,tmp,100,0.99,1,../cl-pytorch/data,10,8,50,0,online,10,0,-1,1,1,2,1,online_cl,0.1,-1,10,0.2,28.2
,0.1,0,0.5,0.1,0.2,mir,split_cifar10,1,5,0,tmp,100,0.99,1,../cl-pytorch/data,10,8,50,0,online,10,0,-1,1,1,2,1,online_cl,0.1,-1,10,0.2,31.140000000000004
,0.1,1,0.5,0.1,0.2,mir,split_cifar10,1,5,0,tmp,50,0.99,1,../cl-pytorch/data,10,8,50,0,online,10,0,-1,1,1,2,0,online_cl,0.1,-1,10,0.2,31.0
,0.1,0,0.5,0.1,0.2,mir,split_cifar10,1,5,0,tmp,50,0.99,1,../cl-pytorch/data,10,8,50,0,online,10,0,-1,1,1,2,0,online_cl,0.1,-1,10,0.2,35.980000000000004
,0.1,1,0.5,0.1,0.2,mir,split_cifar10,1,5,0,tmp,50,0.99,1,../cl-pytorch/data,10,8,50,0,online,10,0,-1,1,1,2,1,online_cl,0.1,-1,10,0.2,26.640000000000004
,0.1,0,0.5,0.1,0.2,mir,split_cifar10,1,5,0,tmp,50,0.99,1,../cl-pytorch/data,10,8,50,0,online,10,0,-1,1,1,2,1,online_cl,0.1,-1,10,0.2,28.419999999999998
,0.1,1,0.5,0.1,0.2,mir,split_cifar10,1,5,0,tmp,20,0.99,1,../cl-pytorch/data,10,8,50,0,online,10,0,-1,1,1,2,0,online_cl,0.1,-1,10,0.2,32.38
,0.1,0,0.5,0.1,0.2,mir,split_cifar10,1,5,0,tmp,20,0.99,1,../cl-pytorch/data,10,8,50,0,online,10,0,-1,1,1,2,0,online_cl,0.1,-1,10,0.2,31.640000000000004
,0.1,1,0.5,0.1,0.2,mir,split_cifar10,1,5,0,tmp,20,0.99,1,../cl-pytorch/data,10,8,50,0,online,10,0,-1,1,1,2,1,online_cl,0.1,-1,10,0.2,33.08
,0.1,0,0.5,0.1,0.2,mir,split_cifar10,1,5,0,tmp,20,0.99,1,../cl-pytorch/data,10,8,50,0,online,10,0,-1,1,1,2,1,online_cl,0.1,-1,10,0.2,28.78
,0.01,1,0.5,0.1,0.2,iid++,miniimagenet,1,1,0,tmp,0,0.99,1,../cl-pytorch/data,100,8,50,0,online,10,0,-1,1,1,2,0,online_cl,0.1,-1,10,0.2,21.604166666666664
,0.1,1,0.5,0.1,0.2,er,split_cifar100,1,20,0,tmp,100,0.99,1,../cl-pytorch/data,100,8,50,1,online,10,0,-1,1,1,2,0,online_cl,0.1,-1,10,0.2,11.879999999999999
,0.01,1,0.5,0.1,0.2,iid++,miniimagenet,1,1,0,tmp,0,0.99,0,../cl-pytorch/data,100,8,50,0,online,10,0,-1,1,1,2,0,online_cl,0.1,-1,10,0.2,24.5625
,0.01,0,0.5,0.1,0.2,iid++,miniimagenet,1,1,0,tmp,0,0.99,1,../cl-pytorch/data,100,8,50,0,online,10,0,-1,1,1,2,0,online_cl,0.1,-1,10,0.2,27.187499999999996
,0.1,1,0.5,0.1,0.2,er,split_cifar100,1,20,0,tmp,100,0.99,0,../cl-pytorch/data,100,8,50,1,online,10,0,-1,1,1,2,0,online_cl,0.1,-1,10,0.2,16.3
,0.01,0,0.5,0.1,0.2,iid++,miniimagenet,1,1,0,tmp,0,0.99,0,../cl-pytorch/data,100,8,50,0,online,10,0,-1,1,1,2,0,online_cl,0.1,-1,10,0.2,27.8125
,0.01,1,0.5,0.1,0.2,icarl,miniimagenet,1,20,0,tmp,20,0.99,1,../cl-pytorch/data,100,8,50,0,online,10,0,-1,1,0,2,0,online_cl,0.1,-1,10,0.2,25.583333333333336
,0.05,1,0.5,0.1,0.2,iid++,miniimagenet,1,1,0,tmp,0,0.99,1,../cl-pytorch/data,100,8,50,0,online,10,0,-1,1,1,2,0,online_cl,0.1,-1,10,0.2,21.3125
,0.05,1,0.5,0.1,0.2,iid++,miniimagenet,1,1,0,tmp,0,0.99,0,../cl-pytorch/data,100,8,50,0,online,10,0,-1,1,1,2,0,online_cl,0.1,-1,10,0.2,21.729166666666664
,0.1,0,0.5,0.1,0.2,er,split_cifar100,1,20,0,tmp,100,0.99,1,../cl-pytorch/data,100,8,50,1,online,10,0,-1,1,1,2,0,online_cl,0.1,-1,10,0.2,9.64
,0.05,0,0.5,0.1,0.2,iid++,miniimagenet,1,1,0,tmp,0,0.99,1,../cl-pytorch/data,100,8,50,0,online,10,0,-1,1,1,2,0,online_cl,0.1,-1,10,0.2,17.958333333333336
